"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"L43338_at",0.391335260523904,6.79495367097084,1.99272998365518,0.0500061397063349,0.172351541787485,-4.72780682857663,NA
"X74795_at",-0.27092191624026,11.0453595312786,-1.99260279707329,0.0500203871452247,0.172351541787485,-4.72804637678076,"MCM5"
"U45328_s_at",-0.435520994195072,9.67286573052151,-1.99157371322062,0.0501357928791757,0.172665733060697,-4.72998409002037,"UBE2I"
"U89012_at",0.162341495046465,6.30364808106432,1.99116963864453,0.0501811697132959,0.172738560543741,-4.73074469699695,"DMP1"
"U40380_at",0.317724997573439,3.63783016101684,1.99034740620717,0.0502736133876327,0.172973257644997,-4.73229199359646,"PSEN1"
"U03891_at",0.478180778326223,8.14877841928172,1.98976660838457,0.0503390002902083,0.173114680689288,-4.73338460772242,"APOBEC3A"
"D38122_at",0.175432713506749,6.79336095591247,1.98760263009981,0.0505832642057256,0.173870824745717,-4.7374530323542,"FASLG"
"U60521_at",-0.347744860271773,5.7847567506058,-1.98697234251005,0.0506545996224914,0.173935747618663,-4.7386372693291,"CASP9"
"M15958_at",-0.193969834616941,3.45760388176891,-1.9869007199232,0.0506627112456226,0.173935747618663,-4.73877181852894,"GAST"
"U58046_s_at",-0.260634721238101,7.89563850548716,-1.98678917167111,0.0506753468654739,0.173935747618663,-4.73898136287349,"EIF3A"
"HG4099-HT4369_s_at",-0.202575710614549,4.23585430599358,-1.98498784676678,0.0508797651263192,0.174550089886856,-4.74236370700773,NA
"HG1116-HT1116_at",-0.226107504213878,9.06604013647766,-1.98478084197733,0.0509033015675092,0.174550089886856,-4.74275222329885,NA
"X59244_f_at",-0.224470647043978,8.27361463984407,-1.98403059720761,0.0509886823790789,0.174758806096372,-4.74416001344704,"ZNF43"
"X66360_at",0.159257830129666,6.2165257450932,1.98324423245802,0.0510783051231495,0.174981853542976,-4.74563506840562,"CDK17"
"X64810_at",0.167334268481754,6.70851785345899,1.98242819536674,0.0511714519425604,0.17521675355356,-4.74716522807733,"PCSK1"
"HG2175-HT2245_s_at",-0.450367774954323,7.29107802101666,-1.98162407982096,0.0512633799033999,0.175447256520085,-4.74867248114785,NA
"X54816_at",0.365603669109056,7.46304538506427,1.97884146265372,0.0515825834205841,0.176455008255923,-4.7538840513679,"AMBP"
"X63755_at",-0.646050574824806,6.44270435112103,-1.97796257105704,0.051683756172295,0.176646013608395,-4.75552876437516,"KRTAP5-9"
"U88898_r_at",0.326235621624528,10.0742583934764,1.97792594093819,0.0516879764885837,0.176646013608395,-4.75559729788657,"ERVH-6"
"L11244_s_at",-0.203902556604299,5.24359384846114,-1.97730462853273,0.0517596054493251,0.176806050430397,-4.7567595754965,"C4BPB"
"X64624_s_at",-0.670545078580949,7.64573556676193,-1.97561444670962,0.0519548896971988,0.177388126748721,-4.75991970934127,"POU4F1"
"J04513_at",0.175337479052651,6.48816736537092,1.97529226266347,0.0519921862522881,0.177423278632003,-4.76052182183492,"FGF2"
"X06825_at",-0.364782557922052,5.88313015120538,-1.97509562698711,0.0520149603508047,0.177423278632003,-4.76088926040412,"TPM2"
"M21812_at",0.156514544115927,9.34127839166939,1.97403013347587,0.0521385126135366,0.177759663520757,-4.76287969855373,"MYL11"
"D50857_at",0.294609040980536,7.77858824952998,1.97321309332486,0.0522334243749741,0.177998127327529,-4.76440535033616,"DOCK1"
"L26234_at",0.255155387180819,6.61900080096161,1.97265429169152,0.052298422640393,0.178134474440211,-4.76544846917301,"APOBEC1"
"U77665_at",-0.187780595239379,7.88848813400139,-1.97219406758644,0.0523520064580734,0.178231830964472,-4.76630737349921,"RPP30"
"X55666_at",0.271220912673352,9.9872299895468,1.97101136266539,0.0524899235241576,0.178616069118721,-4.7685137997772,"USF1"
"D21260_at",-0.462507370103273,10.004384015418,-1.97063072933842,0.0525343756532064,0.178633297763088,-4.76922364753027,"CLTC"
"Z86000_at",0.234270660996939,9.19012002039852,1.97053893135886,0.052545101053331,0.178633297763088,-4.76939482428345,"SSTR3"
"HG311-HT311_at",-0.257485465625532,12.8998549549835,-1.96946572440253,0.0526706299707482,0.178974700219954,-4.77139551451733,NA
"U77664_at",-0.225644080446852,7.10614592701113,-1.96915553091885,0.0527069597351656,0.178978812578622,-4.77197360003791,"RPP38"
"Z96810_at",0.205212720266339,6.21142985153542,1.96888740555402,0.0527383797147533,0.178978812578622,-4.77247322031107,"SLC6A14"
"M67468_s_at",-0.327699044455948,6.98905375071606,-1.96868903044516,0.0527616363673248,0.178978812578622,-4.77284282981198,"FMR1"
"X17622_at",0.207539152062419,7.95277013154539,1.96842526250144,0.0527925729442932,0.178978812578622,-4.77333422645256,"KCNA6"
"U48250_at",0.225631351306436,5.99801464875877,1.96826313554967,0.0528115960201418,0.178978812578622,-4.7736362377527,"OLIG2"
"U60276_at",-0.441318986911738,3.84377224587626,-1.96817044335302,0.0528224746339488,0.178978812578622,-4.77380889543309,"GET3"
"M14676_at",-0.274249011627202,10.2756463796697,-1.96725598812843,0.0529299001073203,0.179257604686502,-4.77551185902379,"FYN"
"Z46967_at",0.427327647359851,5.87195207859699,1.96697973613939,0.0529623893820427,0.179282466241492,-4.77602617532771,"CCIN"
"D85425_s_at",-0.563043877158623,5.49805153141376,-1.96669059161834,0.0529964131263104,0.179312496050055,-4.77656442500717,"NFYC"
"U29091_at",0.773249180023155,5.98527087389491,1.96587374748506,0.0530926321935568,0.179542899353927,-4.77808461652916,"SELENBP1"
"U51240_at",-0.599764716942067,12.0143795303058,-1.96568506186152,0.0531148793291391,0.179542899353927,-4.77843569011573,"LAPTM5"
"AFFX-DapX-3_at",0.211054703686708,5.80142287818847,1.96542814347002,0.0531451842841292,0.179560198465193,-4.7789136707668,NA
"X99393_s_at",0.218849881706082,7.39703398852605,1.96412673889018,0.0532989187461485,0.179941985332552,-4.78133399055855,"CCR5"
"D31891_at",-0.352237778010995,9.31732411095411,-1.96404434179154,0.0533086650332935,0.179941985332552,-4.78148718214279,"SETDB1"
"M65292_s_at",0.388716961419103,6.66477538671282,1.96293180815205,0.053440409148653,0.180236677959142,-4.78355502443163,"CFHR1"
"AFFX-BioB-3_st",-0.195750424696711,3.70841283788691,-1.96288014713492,0.0534465334837462,0.180236677959142,-4.78365102007021,NA
"X00129_at",0.245480351179024,6.56274641220199,1.96241793736261,0.0535013543714507,0.180250517055595,-4.78450978951524,"RBP4"
"S59184_at",0.214139145421187,6.74893235485379,1.96224059982633,0.053522400397003,0.180250517055595,-4.78483922815545,"RYK"
"X17059_s_at",-0.205316273332742,7.17799389677029,-1.96212479787709,0.0535361473229388,0.180250517055595,-4.78505433814673,"NAT1"
"U78793_at",0.245946082938772,8.72826751481715,1.96181599988727,0.0535728196465637,0.180250517055595,-4.78562789562375,"FOLR1"
"L07597_at",-0.785679750930255,7.37725456945758,-1.96178032358992,0.0535770578820038,0.180250517055595,-4.78569415509868,"RPS6KA1"
"HG3400-HT3579_at",-0.178768467197289,3.26599406377618,-1.96131054824476,0.0536328924179564,0.180353250022458,-4.78656654001694,NA
"D25328_at",-0.625486582317976,7.38685135453555,-1.95902443220427,0.0539053139727644,0.181147727127135,-4.79080923566042,"PFKP"
"H46990_at",0.214733063520127,6.23907783390421,1.95884041765936,0.0539272929536113,0.181147727127135,-4.79115054619754,"CYP2E1"
"L39060_at",-0.300567727225433,6.09440684351555,-1.9585727222375,0.0539592805368352,0.181147727127135,-4.79164701672183,"TAF1A"
"Y07707_at",-0.24675044431092,6.32679126664317,-1.95804765317996,0.054022069267439,0.181147727127135,-4.79262063770781,"NKRF"
"AFFX-BioC-5_at",0.284249129739111,7.65931497079892,1.95761542820746,0.0540738022165196,0.181147727127135,-4.79342192435308,NA
"U70660_at",0.3586148984513,8.66114964684275,1.95748827692605,0.054089028965738,0.181147727127135,-4.79365761535499,"ATOX1"
"J00306_at",0.214985086146182,8.58157080991435,1.95743161902861,0.0540958150957505,0.181147727127135,-4.79376263350928,"SST"
"M31520_rna1_s_at",-0.242311152392432,12.7930664838855,-1.95727574179605,0.0541144888413375,0.181147727127135,-4.79405154539809,"RPS24"
"M32053_at",0.4698371521915,7.13382225156435,1.95727313799558,0.0541148008174489,0.181147727127135,-4.79405637125697,"H19"
"Z49208_at",0.238797660550713,6.43480152521505,1.95720261352697,0.0541232513369054,0.181147727127135,-4.79418707843689,"HTT"
"M26692_s_at",-0.472184681737878,6.26262442402968,-1.95694777721301,0.0541537961950825,0.181164905243896,-4.79465934639031,"LCK"
"U52518_at",-0.677780835390524,5.70122533074305,-1.95550557921416,0.0543269358059845,0.181633758872599,-4.79733101562002,"GRAP"
"X51688_at",-0.45828156139005,6.89758629827148,-1.9553561491979,0.0543449021847741,0.181633758872599,-4.79760773318368,"CCNA2"
"HG3105-HT3281_s_at",0.242202908204486,6.79993798898072,1.95404486314366,0.0545027787669024,0.182076058964033,-4.80003518379691,NA
"U01922_at",-0.214942783830053,4.99941479872341,-1.953059752606,0.054621641058792,0.182272737386978,-4.80185785525522,NA
"HG2228-HT2305_at",-0.235134025794053,3.117829843972,-1.95294500418394,0.0546355008063561,0.182272737386978,-4.80207011134469,NA
"X73079_at",0.435507150622665,6.36746119372906,1.95292136852635,0.0546383559820412,0.182272737386978,-4.80211383004922,"PIGR"
"U95626_rna1_at",0.528908922353059,6.27360457646496,1.95040559394865,0.0549429873054851,0.183135866757003,-4.80676451798261,"CCR2"
"D30715_xpt5_s_at",0.345784255616691,7.77021297992562,1.95036045169282,0.0549484666844199,0.183135866757003,-4.80684791917774,"REG3A"
"M20867_s_at",-0.275714066567476,9.03348607250266,-1.94987719421654,0.0550071537405123,0.183245793932763,-4.80774063792447,"GLUD1"
"M55621_at",-0.867108268304657,5.398222299478,-1.94873728285569,0.0551457964922571,0.183621851094489,-4.80984560092728,"MGAT1"
"U11690_at",-0.277352738293886,6.17407436784795,-1.94784532685434,0.0552544886466536,0.183897875612509,-4.81149191636963,"FGD1"
"D87073_at",-0.225203994091324,8.30168300552558,-1.94693317968814,0.0553658296578625,0.184114311136211,-4.8131747977326,"ZNF142"
"HG4178-HT4448_at",0.495429309696718,7.20084993051686,1.9468894548864,0.0553711717037505,0.184114311136211,-4.81325545072398,NA
"L24203_at",0.438259335789973,5.65549566972241,1.94607769198993,0.055470427886118,0.184358359160902,-4.81475249940251,"TRIM29"
"Y09306_at",0.174636269705252,7.35318810405838,1.94583759727715,0.055499813815351,0.184370071150809,-4.8151951730486,"HIPK3"
"HG4740-HT5187_at",-0.301969035070375,6.03361801373613,-1.94472279769234,0.0556364310437924,0.18470792068458,-4.81724993598554,NA
"HG2981-HT3938_s_at",0.482030752472425,5.24050095490801,1.94458503613603,0.0556533333750143,0.18470792068458,-4.81750378007428,NA
"Z20656_rna1_s_at",0.209240603133851,6.0162923556223,1.94276497378817,0.055877051814077,0.185364001850489,-4.82085596808004,"MYH6"
"U47931_at",0.322747688791061,9.73691306182211,1.94255414008187,0.0559030164088303,0.185364001850489,-4.82124409857578,"GNB3"
"M37815_cds1_at",-0.237410929298631,5.97375744657719,-1.94189904741494,0.0559837578305901,0.185545425185624,-4.82244983748967,"CD28"
"HG3141-HT3317_f_at",-0.698660543367478,5.68498942776081,-1.94149743339484,0.056033306514493,0.185623346720177,-4.82318885202704,NA
"U35139_at",-0.418516961227655,4.89806964455108,-1.94124676474504,0.0560642513668867,0.185639594981206,-4.82365004048268,"NDN"
"X85178_at",-0.196406354392409,4.52614540395429,-1.94092424302982,0.0561040877879497,0.185685256193265,-4.82424334767452,"MED22"
"X78710_at",0.319090927532834,6.14731475727834,1.93949340076599,0.0562811091264163,0.186184699286414,-4.82687443752049,"MTF1"
"U00947_s_at",-0.229148252270123,12.7977694719901,-1.93904700305833,0.0563364337099344,0.186281278255159,-4.82769493368132,"HNRNPA1"
"D87463_at",-0.290439080532885,5.74397011101616,-1.93783027481424,0.0564874643399684,0.186694081260841,-4.82993046296345,"PHYHIP"
"L13042_at",0.343201586324142,7.27851329517135,1.93753361880053,0.0565243399066434,0.18672938794924,-4.83047532574583,"S100G"
"X86371_s_at",-0.400573405769016,8.09263455495739,-1.93675998765082,0.0566206016529708,0.186960754601218,-4.83189588658105,"LLGL1"
"M20642_s_at",-0.187664470949676,6.36210746572727,-1.93524099124447,0.0568100131665874,0.18749934438176,-4.83468361819111,"MYL1"
"M83664_at",-0.454449155612926,7.86758599373674,-1.93460585815401,0.0568893705642328,0.187674374249151,-4.8358486589691,"HLA-DPB1"
"X79200_s_at",0.17919519533433,6.20186889855101,1.93327839091531,0.0570555363776103,0.188135485123027,-4.83828255267265,"SSX2"
"M85085_at",-0.256660251714328,6.03866060152336,-1.93304135721667,0.0570852504007347,0.188146440178843,-4.83871699236457,"CSTF2"
"X07203_at",-0.630387692023196,6.87014712307808,-1.93273433152824,0.0571237579920207,0.188172829670092,-4.83927964326407,"MS4A1"
"X53586_rna1_at",-0.529561738699106,7.49765151670465,-1.93255669081733,0.0571460480061369,0.188172829670092,-4.83960514830107,"ITGA6"
"U57099_at",0.319815168323977,5.74907929867322,1.93203601277901,0.0572114242204582,0.18830112800907,-4.84055907218641,"SPEG"
"X13444_at",0.20654241058128,9.92464528661955,1.93023869699344,0.0574375827405057,0.188958249818673,-4.84385011778279,"CD8B"
"J02874_at",-0.249669886930125,6.46142779292383,-1.92935315649054,0.0575492901020155,0.18923841749874,-4.84547060571213,"FABP4"
"D28383_at",-0.352487145338968,7.6811505899418,-1.92898623462619,0.0575956297971924,0.18925842804638,-4.84614185499955,"ATP5PB"
"X69433_at",-0.313450794271686,10.5262575811334,-1.92869627419091,0.0576322721857228,0.18925842804638,-4.84667222908458,"IDH2"
"HG3513-HT3707_at",0.165209789020774,6.62068326290107,1.92862574666165,0.0576411877607351,0.18925842804638,-4.84680122192798,NA
"L33842_rna1_at",-0.457516828669291,10.8758818066791,-1.92828480680654,0.0576843033880993,0.18925842804638,-4.84742473122003,"IMPDH2"
"X63527_at",-0.186497571426354,14.3571742688901,-1.92825468514598,0.057688113921277,0.18925842804638,-4.8474798127987,"RPL19"
"L48546_at",-0.632135337026408,8.862120167842,-1.92716053844791,0.0578266735019491,0.189285148075605,-4.84948008362464,"TSC2"
"X64037_at",0.26783618906509,9.35206153496402,1.92670209845389,0.0578848128798594,0.189285148075605,-4.8503178789728,"GTF2F1"
"X55954_at",-0.185610702126841,13.8792506763126,-1.92663555003339,0.0578932566724976,0.189285148075605,-4.85043948072217,"RPL23"
"U53003_at",-0.737312732245161,7.51680416043973,-1.92628883210442,0.0579372658170853,0.189285148075605,-4.85107296573834,"LOC102724023"
"L34060_at",0.330832538103742,8.42855277717936,1.92625429314887,0.0579416514239917,0.189285148075605,-4.8511360659004,"CDH8"
"U52154_at",0.278479745781977,7.15831819874675,1.92610169528994,0.0579610310087964,0.189285148075605,-4.85141483888254,"KCNJ5"
"U91930_at",-0.291351924358864,8.87952084806784,-1.92606001499699,0.0579663252679247,0.189285148075605,-4.85149097894747,"AP3D1"
"X89426_at",0.144848103005624,6.43795237664084,1.92584020340393,0.0579942526708638,0.189285148075605,-4.85189249829281,"ESM1"
"D83702_at",-0.227135735519026,7.03219601618186,-1.92581442695355,0.0579975283561239,0.189285148075605,-4.85193958019587,"CRY1"
"X99720_rna1_at",-0.410702183984718,7.70530539180252,-1.92548926830525,0.0580388631683736,0.189285148075605,-4.85253344898737,"PRCC"
"M13232_s_at",0.258310497846455,7.49716597911513,1.92547706005756,0.0580404155914913,0.189285148075605,-4.85255574433248,"F7"
"D00762_at",-0.273240721951897,9.08714089731615,-1.92538363642098,0.0580522966778891,0.189285148075605,-4.85272635527677,"PSMA3"
"AFFX-HUMISGF3A/M97935_5_at",0.36985341337253,4.88339249975439,1.9252737140225,0.0580662786237607,0.189285148075605,-4.85292708681904,"STAT1"
"U48959_at",-0.415945227198177,5.42585018415395,-1.92526035144414,0.05806797851611,0.189285148075605,-4.85295148779203,"MYLK"
"L12060_s_at",0.337873687988192,7.18267695828615,1.92394544592798,0.0582354579663141,0.189593431479349,-4.85535184690192,"RARG"
"HG3107-HT3283_s_at",0.318893710439301,8.17004301161438,1.92393327377855,0.0582370102434874,0.189593431479349,-4.8553740602392,NA
"HG2255-HT2344_f_at",-0.243848481985792,6.63052599418978,-1.92389059430663,0.0582424533038016,0.189593431479349,-4.85545194634428,NA
"M59807_at",-0.33179642439187,10.9105717591413,-1.92368302959192,0.0582689308979175,0.189593431479349,-4.85583071059874,"IL32"
"J00277_at",-0.392575097962361,5.26025198343318,-1.92340306470547,0.0583046602452775,0.189623140003916,-4.85634153232351,"HRAS"
"U22963_at",0.240323338162465,8.46886467605271,1.92172105879416,0.0585197104234781,0.190235757231635,-4.85940909442649,"MR1"
"X99586_s_at",-0.199280991425525,7.4428375311363,-1.9204978123146,0.0586765285646357,0.190658601703413,-4.86163847145641,"SUMO1"
"Y10512_at",-0.218690869680322,6.52260144022947,-1.91923851381491,0.058838340382399,0.191097279538097,-4.86393221484635,"SLC17A4"
"X65965_s_at",0.654667678976331,9.49566178903109,1.91901592382568,0.0588669810598881,0.191103236783216,-4.86433750907379,"SOD2"
"M83941_at",0.213509784161594,6.24042459847147,1.91840362648901,0.0589458263645976,0.19127209656496,-4.86545216763326,"EPHA3"
"S76853_s_at",0.12844562664635,6.28612056528281,1.9177861485265,0.0590254293625336,0.191372496929317,-4.86657593199414,NA
"HG3242-HT4231_s_at",-0.428835306844221,6.01495190627804,-1.91774718082464,0.0590304559892787,0.191372496929317,-4.86664683937972,NA
"U82313_at",-0.252321720859786,6.02128783751408,-1.91662406130298,0.0591754883620545,0.191755480242312,-4.86868995907305,NA
"D13435_at",-0.280035625307467,7.74402613846793,-1.91554846813532,0.0593146662935601,0.192117593778012,-4.87064560799859,"PIGF"
"Z84722_at",-0.313245722372788,4.8457997116067,-1.91534416567627,0.0593411336090872,0.192117593778012,-4.87101695970349,"NPRL3"
"X66610_at",0.208677258053308,6.73226841218078,1.91477518888309,0.0594148970797695,0.192269088189594,-4.87205097553763,NA
"X61615_at",0.249792597955961,7.92116986463143,1.91390158601176,0.0595283040934105,0.192548675082542,-4.87363805584091,"LIFR"
"M19311_at",0.228966592817143,6.10081950866072,1.91366656862902,0.059558844209292,0.19256009086986,-4.87406490184112,"CALM2"
"U43189_s_at",0.281370842914805,8.4665924434104,1.91288541608469,0.0596604490121974,0.192780183671756,-4.87548331549294,"ELF2"
"U37139_at",-0.211914477526701,8.11645591659276,-1.91272753641327,0.0596810022953523,0.192780183671756,-4.87576992920581,"ITGB3BP"
"U40223_at",0.730417728765672,5.8027700637905,1.91239043591846,0.0597249071841342,0.192834630124861,-4.87638182767691,"P2RY4"
"D78586_at",-0.473768858784427,7.69370289536402,-1.91052176645313,0.0599687839377701,0.1935343869137,-4.8797720338278,"CAD"
"M29335_at",0.446220342390481,4.35774179202327,1.9098491869185,0.0600567671092639,0.193730630190924,-4.88099151835398,"HLA-DOA"
"J02973_rna1_at",0.384167469586282,5.12605505276935,1.90878208570014,0.0601965835640406,0.194093823712368,-4.88292553176481,"THBD"
"Z69923_at",-0.299159455663803,5.8810777457663,-1.90792726897375,0.0603087841130931,0.194322519994943,-4.88447409611371,"HGFAC"
"M29194_at",-0.288174499662598,5.95411986611497,-1.90782645815074,0.0603220278789184,0.194322519994943,-4.8846566811153,"LIPC"
"J05249_at",-0.182373448609866,10.4526364602336,-1.90720710163598,0.0604034482688594,0.19449692082597,-4.88577824636509,"RPA2"
"U60205_at",-0.241893919480963,6.47516053139056,-1.90685973341584,0.0604491538484343,0.194556215704509,-4.88640713597164,"MSMO1"
"Z29077_xpt1_at",0.365564199791572,7.02232506644246,1.90559634596968,0.0606156329992405,0.195003992622557,-4.88869355082697,"CDC25C"
"K03189_f_at",0.468205947695605,9.33754214607008,1.90294695424501,0.06096600814161,0.196042702770202,-4.89348383638028,"CGB3"
"X78338_at",0.241011182860706,9.31575982415094,1.90203221636977,0.0610873767787677,0.196344413460701,-4.89513634659793,"ABCC1"
"X73501_at",0.143524277403664,5.25032111078356,1.901750810507,0.0611247551361141,0.19637601593752,-4.89564457288474,"KRT20"
"X81625_at",0.302324353517626,8.46002486302135,1.90151206925877,0.0611564816269501,0.196389440323661,-4.89607569243735,"ETF1"
"D87444_at",0.426159326141797,7.05595086104455,1.90026201137789,0.0613228300060528,0.196834964031135,-4.89833225075177,"TM9SF4"
"U52827_at",-0.223536477116618,6.30089269597643,-1.90004911166232,0.0613511991842963,0.19683739828301,-4.89871643566153,"MARCHF6"
"AFFX-TrpnX-3_at",0.282577512052352,4.76302400956205,1.89957024216531,0.0614150497280497,0.19695361651429,-4.89958042993826,NA
"M27394_s_at",-0.64294493572395,6.63366720509931,-1.89874831084346,0.0615247736592861,0.197194819001705,-4.90106292984656,"MS4A1"
"U03642_at",0.290530434799692,9.61051314649604,1.89839704273029,0.0615717167765768,0.197194819001705,-4.90169632754017,"APLNR"
"X06617_at",-0.203737724499412,14.3106100236882,-1.89838560740828,0.061573245489942,0.197194819001705,-4.9017169456386,"RPS11"
"X70476_at",-0.416815508514992,7.95067875170098,-1.89764023443584,0.061672958710117,0.197425470428569,-4.90306062457102,"COPB2"
"M21186_at",0.623696975160108,12.4852527403304,1.89650944576035,0.061824491828727,0.197776196507052,-4.90509817806863,"CYBA"
"AF009674_at",-0.78513607703437,6.24052149077654,-1.89640871530725,0.0618380056128796,0.197776196507052,-4.9052796296509,"AXIN1"
"U74324_at",-0.205898766146984,5.7708156195012,-1.89573015490134,0.0619291048633457,0.197918907487002,-4.90650173238966,"RABIF"
"J04599_at",0.328016526374908,9.59849511122646,1.89566281570754,0.0619381515785527,0.197918907487002,-4.90662299021878,"BGN"
"L37127_at",-0.750073790516916,8.64292100927453,-1.89516484932108,0.062005085751714,0.198044021650524,-4.90751955832788,"POLR2J"
"D63485_at",0.185429754765865,9.63275475761513,1.8940579085351,0.0621540940706502,0.19843105088655,-4.90951179612673,"IKBKE"
"U66088_at",0.252422958512986,7.76510379383744,1.89290799443542,0.0623092072053706,0.198837214936028,-4.91158026002949,"SLC5A5"
"M32011_at",0.540596730899065,8.22162016874531,1.89207963690702,0.0624211476139264,0.199105307087106,-4.91306960364929,"NCF2"
"X77584_at",0.353323649063846,10.8015257499026,1.89076406086417,0.0625992773303086,0.199584189663582,-4.91543372751402,"TXN"
"D56495_at",0.18533418182836,8.55929911682193,1.88958184194361,0.0627597161947101,0.200006265870402,-4.91755693480317,"REG1CP"
"M36653_s_at",-0.516169734570446,5.75661757333308,-1.88928953276126,0.0627994389140663,0.200019774986426,-4.91808172232192,"POU2F2"
"U20428_at",0.234575352531794,8.60778167772694,1.88913777842864,0.0628200696022734,0.200019774986426,-4.91835414039149,"ST14"
"M63582_at",0.473404743584201,9.32088754894681,1.88882312433319,0.0628628643977555,0.200066678701607,-4.91891892082181,"TRH"
"J03242_s_at",0.209791378425209,8.63433564035482,1.88742749583474,0.0630529746267208,0.200582175865191,-4.92142294171538,"IGF2"
"X96484_at",0.169349923870184,9.98908700345653,1.8870538815123,0.0631039499724204,0.200654798997942,-4.92209299179953,"DGCR6"
"U35376_at",-0.117961471758694,6.35281862817049,-1.88667801442829,0.0631552677524451,0.200728445745511,-4.92276696078214,"ZNF85"
"Z21966_at",0.309831619406224,7.08531253027668,1.88618346475737,0.0632228430911837,0.20085367575626,-4.92365355473929,"POU6F1"
"D14533_at",-0.347341390229701,5.21068992082669,-1.88572675369358,0.0632853023067607,0.200962547948729,-4.92447212725339,"XPA"
"L76687_at",-0.251167419204275,6.46992917675238,-1.88496168463419,0.0633900487591769,0.20120554657354,-4.9258429735968,"GRB14"
"S80335_at",0.531550953932036,7.31046010224517,1.88403155957654,0.0635175900751284,0.201450976795015,-4.92750888736525,"ITGB7"
"D26069_at",-0.213319624193534,7.92417792408051,-1.88398567304442,0.0635238877591798,0.201450976795015,-4.92759105380693,"ACAP2"
"U33821_at",0.265248677127033,10.2470103206158,1.88362288862216,0.063573696540439,0.201519289745127,-4.92824060768975,"TAX1BP1"
"M31423_s_at",0.151080878071628,6.52368071193974,1.88286416601258,0.0636779724183385,0.201760117942371,-4.92959870971606,"CDR1"
"U06155_s_at",-0.362164317007693,14.0424520151696,-1.88245407758928,0.0637343933722363,0.201849173856363,-4.93033255534728,"RPL23A"
"L39009_at",0.174821277485541,6.04544757451766,1.88091943548978,0.0639459071705428,0.202429117326287,-4.93307748322718,"ADH7"
"U89336_cds1_at",0.268503939742633,10.5419399503384,1.87819211735848,0.0643232627232375,0.203519150678659,-4.93795067484039,"GPSM3"
"U06452_at",-0.199609994118551,7.71556577333385,-1.87801857942757,0.0643473370219802,0.203519150678659,-4.93826053669093,"MLANA"
"X54938_at",-0.514159410819108,8.77439239152797,-1.87481216732765,0.0647935186198047,0.204709815771721,-4.94398109549666,"ITPKA"
"X52228_at",0.581819332867369,5.99241724804842,1.8746182739995,0.0648205827638517,0.204709815771721,-4.94432673622225,"MUC1"
"HG2036-HT2090_at",-0.328846733306125,7.31398811417228,-1.87438101001758,0.0648537136478416,0.204709815771721,-4.94474964680364,NA
"U61981_at",-0.177509492304583,6.87648156952026,-1.8742890583608,0.0648665573548332,0.204709815771721,-4.94491353274398,"MSH3"
"U66497_at",0.156491186264191,6.79399047051126,1.87428324785488,0.0648673690318864,0.204709815771721,-4.94492388859541,"LEPR"
"U13220_at",0.481376631195624,7.07122237620397,1.87407174313527,0.0648969202197048,0.204712453206317,-4.94530082586954,"FOXF2"
"M34677_at",-0.671671129295694,8.00585639971422,-1.87339002047111,0.0649922468509505,0.204922480230175,-4.9465155085946,"F8A1"
"L29339_at",-0.208167120106005,5.37171830586556,-1.87235339461518,0.0651374261796431,0.205289439095789,-4.94836178382743,"SLC5A1"
"M94547_at",-0.478446190313412,4.81343228035194,-1.87163010748692,0.0652388840473842,0.205416006129229,-4.94964944012177,"MYL7"
"HG3934-HT4204_at",-0.452592012231326,8.17721172764985,-1.87158991113226,0.0652445264213853,0.205416006129229,-4.94972098779553,NA
"U00968_at",0.35678061974231,9.57354804155006,1.87145100585555,0.0652640277574278,0.205416006129229,-4.94996822210328,"SREBF1"
"M29927_at",0.511396926192516,7.74768249533019,1.87114900735833,0.065306443175596,0.205458796733815,-4.95050568482727,"OAT"
"M28585_f_at",0.173064096553614,6.18107295662684,1.87089623314279,0.0653419629198021,0.205479864867785,-4.9509554832357,"IFNA16"
"Z11502_at",-0.373470625682133,5.38428128058859,-1.86969018245739,0.0655116606451913,0.205922675811097,-4.95310082763372,"ANXA13"
"HG2188-HT2258_at",-0.230172771622646,5.07422080008971,-1.86930843981714,0.0655654510578437,0.206000925778479,-4.95377961662051,NA
"L15702_at",0.225315210079309,10.0732230236133,1.86773242503329,0.0657879169351056,0.206549098909505,-4.95658064778233,"CFB"
"M60626_at",0.261497409003971,6.34956188607641,1.86766203089236,0.0657978683719294,0.206549098909505,-4.95670570836439,"FPR1"
"X64728_at",-0.428561976552224,7.34511140674806,-1.86714439061951,0.0658710847269152,0.206687923863635,-4.9576252045239,"CHML"
"U01337_at",0.221878977854788,10.2236758486327,1.86586387345288,0.0660524987875703,0.207165976179757,-4.9598988219477,"ARAF"
"X57110_s_at",0.295957794205359,7.63925529193442,1.86408628818403,0.0663050299973014,0.20777771204997,-4.96305265901301,"CBL"
"U13061_rna1_at",0.248088657946381,6.48982552136857,1.86401838658721,0.0663146924550797,0.20777771204997,-4.96317307762678,"SULT2A1"
"Z74615_at",0.29575753556313,10.3062691499158,1.86364606811547,0.0663676947482142,0.20777771204997,-4.96383328693674,"COL1A1"
"M62302_at",0.395609253686769,7.48514298865872,1.86352251460375,0.066385291373756,0.20777771204997,-4.96405235026636,"GDF1"
